video_id,title,published_date,year,month,title_length
DTPSeeKokdo,"Ezra Klein and Derek Thompson: Politics, Trump, AOC, Elon &amp; DOGE | Lex Fridman Podcast #462",2025-03-25,2025,3,95
tNZnLkRBYA8,"ThePrimeagen: Programming, AI, ADHD, Productivity, Addiction, and God | Lex Fridman Podcast #461",2025-03-22,2025,3,96
ZPUtA3W-7_I,"Narendra Modi: Prime Minister of India - Power, Democracy, War &amp; Peace | Lex Fridman Podcast #460",2025-03-16,2025,3,101
_1f-o0nqpEI,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast #459",2025-02-03,2025,2,100
OHWnPOKh_S0,"Marc Andreessen: Trump, Power, Tech, AI, Immigration &amp; Future of America | Lex Fridman Podcast #458",2025-01-26,2025,1,103
u321m25rKXc,"Volodymyr Zelenskyy: Ukraine, War, Peace, Putin, Trump, NATO, and Freedom | Lex Fridman Podcast #456",2025-01-05,2025,1,100
yhZAXXI83-4,Adam Frank: Alien Civilizations and the Search for Extraterrestrial Life | Lex Fridman Podcast #455,2024-12-22,2024,12,99
8NLzc9kobDk,"Javier Milei: President of Argentina - Freedom, Economics, and Corruption | Lex Fridman Podcast #453",2024-11-19,2024,11,100
ugvHCXCOmm4,"Dario Amodei: Anthropic CEO on Claude, AGI &amp; the Future of AI &amp; Humanity | Lex Fridman Podcast #452",2024-11-11,2024,11,107
abd5hguWKz0,"Rick Spence: CIA, KGB, Illuminati, Secret Societies, Cults &amp; Conspiracies | Lex Fridman Podcast #451",2024-10-30,2024,10,104
q8VePUwjB9Y,"Jordan Peterson: Nietzsche, Hitler, God, Psychopathy, Suffering &amp; Meaning | Lex Fridman Podcast #448",2024-10-11,2024,10,104
oFfVt3S51T4,Cursor Team: Future of Programming with AI | Lex Fridman Podcast #447,2024-10-06,2024,10,69
AzzE7GOvYz8,"Ed Barnhart: Maya, Aztec, Inca, and Lost Civilizations of South America | Lex Fridman Podcast #446",2024-09-30,2024,9,98
Q8Qk_3a3lUw,"Vivek Ramaswamy: Trump, Conservatism, Nationalism, Immigration, and War | Lex Fridman Podcast #445",2024-09-25,2024,9,98
s1oTH4Sjvzg,"Vejas Liulevicius: Communism, Marxism, Nazism, Stalin, Mao, and Hitler | Lex Fridman Podcast #444",2024-09-20,2024,9,97
DyoVVSggPjY,Gregory Aldrete: The Roman Empire - Rise and Fall of Ancient Rome | Lex Fridman Podcast #443,2024-09-12,2024,9,92
oFtjKbXKqbg,"Pieter Levels: Programming, Viral AI Startups, and Digital Nomad Life | Lex Fridman Podcast #440",2024-08-20,2024,8,96
J7aiEwp1x9k,"Craig Jones: Jiu Jitsu, $2 Million Prize, CJI, ADCC, Ukraine &amp; Trolling | Lex Fridman Podcast #439",2024-08-14,2024,8,102
Kbk9BiPhm7o,Elon Musk: Neuralink and the Future of Humanity | Lex Fridman Podcast #438,2024-08-02,2024,8,74
XJTMQtE-MIo,"Kevin Spacey: Power, Controversy, Betrayal, Truth &amp; Love in Film and Life | Lex Fridman Podcast #432",2024-06-05,2024,6,104
NNr6gPelJ3E,Roman Yampolskiy: Dangers of Superintelligent AI | Lex Fridman Podcast #431,2024-06-02,2024,6,75
